,conf,detections,wrongDetections,wrongDetectionsP,IDs,wrongIds,wrongIdsP,remainingDetections,remainingDetectionsP,remainingIds,remainingIdsP,DET,DETWRONG,IDS,IDSWRONG
0,0.0,1056033,149620,28.336235704755435,4093,2080,50.818470559491814,1056033,100.0,4093,99.9267578125,85.83188214762228,14.168117852377717,49.1455078125,50.78125
1,1.0,1048626,145837,27.81487393980313,4093,2080,50.818470559491814,1048626,99.29860146415879,4093,99.9267578125,85.48871105353714,13.80989041062164,49.1455078125,50.78125
2,2.0,1034777,138727,26.812926843174907,4093,2080,50.818470559491814,1034777,97.9871841126177,4093,99.9267578125,84.85056811671605,13.136615995901643,49.1455078125,50.78125
3,3.0,1028480,135407,26.33147946484132,4092,2080,50.83088954056696,1028480,97.39089592844164,4092,99.90234375,84.56866404743033,12.822231881011295,49.12109375,50.78125
4,4.0,1022431,132402,25.899449449400496,4091,2080,50.84331459300905,1022431,96.81809185887184,4091,99.8779296875,84.2804154794405,12.537676379431325,49.0966796875,50.78125
5,5.0,1016785,129590,25.490147868035034,4091,2080,50.84331459300905,1016785,96.28344947553722,4091,99.8779296875,84.0120526536576,12.27139682187962,49.0966796875,50.78125
6,6.0,1006182,124224,24.69215310947721,4091,2080,50.84331459300905,1006182,95.2794088821088,4091,99.8779296875,83.51614012062123,11.763268761487568,49.0966796875,50.78125
7,7.000000000000001,1001090,121625,24.29851461906522,4091,2080,50.84331459300905,1001090,94.79722698059625,4091,99.8779296875,83.28006795242194,11.517159028174309,49.0966796875,50.78125
8,8.0,996372,119294,23.945674908568286,4090,2079,50.831295843520785,996372,94.35046063901412,4090,99.853515625,83.05403334933662,11.296427289677501,49.0966796875,50.7568359375
9,9.0,991831,117030,23.5987784209205,4090,2079,50.831295843520785,991831,93.92045513729211,4090,99.853515625,82.8384150874073,11.082040049884805,49.0966796875,50.7568359375
10,10.0,983140,112730,22.932644384319627,4088,2079,50.85616438356164,983140,93.09746949195716,4088,99.8046875,82.42261368726167,10.674855804695497,49.0478515625,50.7568359375
11,11.0,978994,110676,22.610148785385814,4086,2078,50.8565834557024,978994,92.70486812438627,4086,99.755859375,82.22451381727655,10.480354307109721,49.0234375,50.732421875
12,12.0,975056,108745,22.305385536830705,4085,2078,50.86903304773563,975056,92.33196311100127,4085,99.7314453125,82.03446293818469,10.29750017281657,48.9990234375,50.732421875
13,13.0,967476,104977,21.70121015921842,4084,2078,50.88148873653281,967476,91.61418251134198,4084,99.70703125,81.67348937012385,9.940693141218125,48.974609375,50.732421875
14,14.000000000000002,963795,103151,21.405174336866242,4079,2076,50.894827163520475,963795,91.26561385865783,4079,99.5849609375,81.4978319806294,9.767781878028432,48.9013671875,50.68359375
15,15.0,960324,101440,21.126203239739922,4077,2076,50.91979396615158,960324,90.93693094818059,4077,99.5361328125,81.3311705221333,9.605760426047292,48.8525390625,50.68359375
16,16.0,956828,99757,20.851605513216587,4075,2075,50.920245398773,956828,90.60588068744065,4075,99.4873046875,81.15949028108022,9.446390406360408,48.828125,50.6591796875
17,17.0,950109,96495,20.312406260755345,4073,2073,50.89614534740977,950109,89.96963163082971,4073,99.4384765625,80.83213308675013,9.137498544079588,48.828125,50.6103515625
18,18.0,946971,95008,20.065661989649104,4071,2073,50.921149594694185,946971,89.67248182585203,4071,99.3896484375,80.67579327539953,8.996688550452497,48.779296875,50.6103515625
19,19.0,943832,93544,19.822171742428736,4070,2073,50.93366093366093,943832,89.37523732686384,4070,99.365234375,80.51718080779673,8.858056519067112,48.7548828125,50.6103515625
20,20.0,937889,90766,19.355382140104,4065,2071,50.947109471094706,937889,88.812470822408,4065,99.2431640625,80.2174742645353,8.594996557872719,48.681640625,50.5615234375
21,21.0,934806,89315,19.108777650122057,4062,2069,50.93549975381585,934806,88.52052918800834,4062,99.169921875,80.06293363938437,8.457595548623955,48.6572265625,50.5126953125
22,22.0,931873,87964,18.878967412941464,4056,2066,50.93688362919132,931873,88.24279165518502,4056,99.0234375,79.91312771475891,8.329663940426105,48.583984375,50.439453125
23,23.0,929027,86622,18.647897208584897,4049,2065,51.00024697456163,929027,87.973292501276,4049,98.8525390625,79.77070792295316,8.202584578322837,48.4375,50.4150390625
24,24.0,923431,84052,18.204283806803108,4039,2062,51.05224065362714,923431,87.44338481846685,4039,98.6083984375,79.4841638471525,7.959220971314343,48.2666015625,50.341796875
25,25.0,920769,82851,17.996044610537496,4037,2062,51.07753282140203,920769,87.19130936249151,4037,98.5595703125,79.34581589779864,7.845493464692865,48.2177734375,50.341796875
26,26.0,918077,81608,17.77802951168584,4033,2061,51.1033969749566,918077,86.93639308620091,4033,98.4619140625,79.20860427657091,7.7277888096300025,48.14453125,50.3173828125
27,27.0,915382,80404,17.567310696517957,4029,2058,51.07967237527923,915382,86.68119272787877,4029,98.3642578125,79.06741550690177,7.613777220976996,48.1201171875,50.244140625
28,28.000000000000004,910433,78167,17.1713898771244,4023,2056,51.106139696743725,910433,86.21255206986903,4023,98.2177734375,78.81060535040099,7.4019467194680475,48.0224609375,50.1953125
