,conf,detections,wrongDetections,wrongDetectionsP,IDs,wrongIds,wrongIdsP
44,44.0,864219,58835,13.615761745576064,3921,2023,51.593981127263454
45,45.0,862075,57975,13.450105849259057,3916,2021,51.608784473953015
46,46.0,857789,56320,13.131434420352791,3907,2018,51.65088303045815
47,47.0,855690,55496,12.971052600825065,3897,2016,51.73210161662818
48,48.0,853608,54714,12.819467483903619,3886,2012,51.77560473494596
49,49.0,851447,53890,12.658450848966524,3885,2012,51.78893178893179
50,50.0,847167,52347,12.358130097135511,3870,2007,51.86046511627907
51,51.0,845006,51555,12.202280220495476,3861,2005,51.929551929551934
52,52.0,842881,50788,12.051048724553052,3853,2003,51.98546587075007
53,53.0,838625,49280,11.752571173051125,3843,2000,52.042674993494664
54,54.0,836526,48549,11.607290149977405,3831,1994,52.049073348995044
55,55.00000000000001,834306,47803,11.45934465292111,3819,1990,52.107881644409524
56,56.00000000000001,832148,47041,11.305921542802484,3811,1986,52.11230648123853
57,57.00000000000001,827826,45591,11.014633509940493,3795,1982,52.22661396574439
58,57.99999999999999,825617,44877,10.871142430448986,3789,1980,52.25653206650831
59,59.0,823462,44190,10.732735693936089,3776,1978,52.38347457627118
60,60.0,821350,43531,10.599866074146224,3770,1977,52.44031830238727
61,61.0,816958,42168,10.32317450835906,3743,1968,52.57814587229495
62,62.0,814819,41487,10.183120423063281,3734,1963,52.57096946973755
63,63.0,812632,40824,10.047352307071343,3721,1956,52.56651437785541
64,64.0,808220,39530,9.781990052213505,3698,1948,52.677122769064354
65,65.0,805967,38828,9.635133944690043,3694,1945,52.652950730914995
66,66.0,803714,38134,9.489445250424902,3680,1940,52.71739130434783
67,67.0,801362,37409,9.336354855857902,3656,1933,52.87199124726477
68,68.0,796614,36089,9.060598985204878,3618,1917,52.98507462686567
69,69.0,794277,35430,8.921320899383968,3604,1909,52.96892341842398
70,70.0,791865,34782,8.784830747665321,3585,1900,52.998605299860536
71,71.0,786713,33423,8.496872429971287,3552,1884,53.04054054054054
72,72.0,784206,32782,8.360558322685621,3525,1873,53.13475177304965
73,73.0,781542,32094,8.212994311246229,3508,1866,53.19270239452679
74,74.0,778989,31475,8.080987022923301,3489,1861,53.33906563485239
75,75.0,773606,30169,7.799577562738655,3464,1849,53.377598152424945
76,76.0,770803,29501,7.654614732947329,3448,1845,53.509280742459396
77,77.0,767958,28861,7.516296464129549,3430,1834,53.46938775510204
78,78.0,764929,28206,7.374802105816356,3414,1827,53.51493848857645
79,79.0,758757,26943,7.101878467019085,3362,1808,53.77751338488994
80,80.0,755499,26277,6.956197162405245,3345,1802,53.87144992526159
81,81.0,752249,25629,6.813967183738363,3321,1791,53.929539295392956
82,82.0,745428,24320,6.525110406370568,3270,1765,53.97553516819572
83,83.0,741749,23603,6.3641474407110765,3241,1750,53.99568034557235
84,84.0,738006,22962,6.2227136364745,3207,1740,54.25631431244153
85,85.0,734087,22329,6.083475119434072,3178,1726,54.310887350534934
86,86.0,725727,20975,5.780410540051562,3101,1690,54.49854885520799
87,87.0,721120,20279,5.624306634124695,3065,1672,54.55138662316477
88,88.0,716258,19544,5.457251437331241,3039,1661,54.65613688713392
89,89.0,711166,18828,5.294966294789121,2983,1635,54.81059336238686
90,90.0,699719,17377,4.966850978750041,2892,1584,54.77178423236515
91,91.0,693492,16635,4.797459812081466,2851,1562,54.78779375657664
92,92.0,686737,15894,4.62884626865889,2807,1531,54.54221588884931
93,93.0,670363,14226,4.244267657970383,2691,1460,54.25492382014121
94,94.0,660579,13384,4.052202688853264,2627,1421,54.092120289303395
95,95.0,649382,12462,3.8381106960155966,2550,1375,53.92156862745098
96,96.0,636042,11487,3.61202562094956,2449,1305,53.28705594120049
97,97.0,598921,9333,3.116604694108238,2257,1170,51.838723969871516
98,98.0,569438,7953,2.7932803922463902,2105,1056,50.16627078384798
99,99.0,521895,6327,2.424625643089127,1890,894,47.3015873015873
100,100.0,406432,3694,1.8177702543106842,1506,580,38.51261620185923
