,LenMean,LenMedian,NumMean,NumMedian,conf,s0mean,s0median,total,total0
0,26.61135894533591,5.0,58.71096994869289,39.0,0.0,1562.3786953334961,1760.0,4093,6394816
1,31.884535113748765,4.0,49.46183953033268,29.0,10.0,1577.067759295499,1773.0,4088,6447053
2,35.74702296765892,4.0,44.35350553505535,23.0,20.0,1585.5057810578105,1781.0,4065,6445081
3,38.342282282643325,3.0,41.463359920239284,19.0,30.0,1589.799850448654,1785.0,4012,6378277
4,40.55547740120286,3.0,39.281115335868186,16.0,40.0,1593.0643852978453,1789.0,3945,6284639
5,42.37983953438892,3.0,37.64883720930233,13.0,50.0,1595.5516795865633,1792.0,3870,6174785
6,43.340328841708015,2.0,36.83050397877984,11.0,60.0,1596.246153846154,1794.5,3770,6017848
7,43.01941923091409,2.0,37.03068340306834,10.0,70.0,1593.0384937238493,1796.0,3585,5711043
8,41.46752547136667,2.0,38.2914798206278,8.0,80.0,1587.8529147982063,1798.0,3345,5311368
9,39.71861871821599,2.0,39.84770295783512,8.0,85.0,1582.6957205789804,1799.0,3178,5029807
10,36.233868203521695,2.0,43.378630705394194,7.0,90.0,1571.7755878284925,1799.0,2892,4545575
11,35.706958976649226,2.0,43.98176078568923,7.0,91.0,1570.4549280954052,1799.0,2851,4477367
12,35.11881827605454,2.0,44.677591734948344,7.0,92.0,1569.024225151407,1799.0,2807,4404251
13,33.5379020823044,2.0,46.64957264957265,7.0,93.0,1564.5287997027128,1799.0,2691,4210147
14,32.65880386773308,2.0,47.83212790255044,7.0,94.0,1562.1400837457174,1800.0,2627,4103742
15,31.60717664925379,2.0,49.321176470588235,7.0,95.0,1558.903137254902,1800.0,2550,3975203
16,30.203979744102615,2.0,51.44467129440588,7.0,96.0,1553.8338097182523,1799.0,2449,3805339
17,27.537215553050785,2.0,56.211342490031015,7.0,97.0,1547.9038546743466,1800.0,2257,3493619
18,25.51174649569426,2.0,60.46175771971497,7.0,98.0,1542.4850356294537,1799.0,2105,3246931
19,22.72293823508698,2.0,67.61428571428571,9.0,99.0,1536.395238095238,1797.0,1890,2903787
20,18.85966095634366,2.0,81.70783532536521,38.0,100.0,1540.9820717131474,1735.5,1506,2320719
