,id,age,degree,strength,lcc,lccF,lccFinv,between,betweenF,betweenFinv,closeness,closenessF,closenessFinv,evc,evcF,evcFinv
0,4058,10,600,3205,0.8015025041736227,0.013309925579423046,0.2191178520643253,0.00026129255436229825,0.0012159997788934295,2.3603833262521835e-06,0.7415458937198067,0.5357766143106457,14.777991950440502,0.030226340953341473,0.013796764753803101,0.03760021197294108
1,450,47,190,440,0.8513505987190197,0.00789118202584574,0.3752354456918076,1.4940647219122501e-05,0.0012186534830639986,0.0,0.5571687840290381,0.5323699421965318,11.007958230641595,0.009945756221765257,0.0020625118190186168,0.021654853688434388
2,3701,31,805,8588,0.7639071722134668,0.02014214151162737,0.13270520817418996,0.0005900636748693735,0.0004083938339323128,0.0007163763395175377,0.8881388621022179,0.5191657271702368,19.047570012394402,0.03996673615379095,0.038615980022353134,0.027691838458183
3,3017,19,277,1041,0.8456809501386491,0.010798634292539546,0.28750840165789115,3.7802518606549484e-05,0.0008144475314413973,0.0,0.5881226053639846,0.5268878718535469,12.666333336338083,0.014326325045455689,0.005013078188310116,0.02316515140897698
4,724,5,668,8957,0.8139762454102291,0.023500343908148594,0.15421541875753406,0.00041423908277307296,0.0006380389609163718,0.005074824151442194,0.7838297872340425,0.5235929505400796,20.975981953361128,0.034026543047731755,0.052628405559781606,0.02920580537518682
5,620,5,670,7792,0.8143319278049216,0.021143044200671587,0.1702882537851106,0.0002648119789457385,0.0009173381517257084,0.0018045130529197942,0.7851662404092071,0.5317551963048499,19.34903112011918,0.034212655097898816,0.044585895650771964,0.03361855689212422
6,1582,31,832,10292,0.7534018328242155,0.022432756515913466,0.11606148175573325,0.0007273926188980743,0.0001936853926665478,0.0010220459802671954,0.9118811881188119,0.5122358175750834,20.089147338023935,0.04105216200440643,0.049866949451179164,0.02412248396784153
7,1381,36,488,1996,0.8021930858046925,0.010706443959333067,0.2655648102782013,0.00016013070325449912,0.00201993649570493,0.0,0.6797047970479705,0.5456161137440758,17.612597172706707,0.024852856421058268,0.01001790781598229,0.03876345473405535
8,3753,19,685,5144,0.7967516113885688,0.01623014021174947,0.18530231914691764,0.00034409113236193373,0.000950526343257682,0.00021479488268894868,0.7953367875647669,0.530835734870317,18.12557352693065,0.034706226118244705,0.02723285855752741,0.03584723490584169
9,366,31,799,7026,0.7723093716770023,0.018021558914387212,0.15298321995792538,0.0005281338418037761,0.0005893835086020365,0.00010149648302884388,0.8830297219558965,0.5253850541928123,16.939887650323733,0.039927205144941004,0.03438400993406535,0.033269992248119044
10,684,5,667,8762,0.7976057016536776,0.02273810489905062,0.14940211691383834,0.00040952612854948086,0.0005950486018776434,0.013975829674739178,0.7831632653061225,0.5244874715261959,21.614726799104886,0.03360654033523967,0.04984451641996523,0.02845635313639146
11,296,26,421,1471,0.8309014817328356,0.010600080445571912,0.2792996224187438,9.289520892466495e-05,0.0017487434240611337,0.0,0.6476793248945147,0.5398593200468933,11.879764233391741,0.021739915488412916,0.007592295448548878,0.03407886969128404
12,1814,30,717,7025,0.7865952954193061,0.018744448238929328,0.16365493672545683,0.0004226698442517461,0.00085883837948872,0.0016758721616390504,0.8179396092362344,0.5287026406429391,18.96286499522135,0.036074388319904414,0.036901623039255205,0.03333756090341056
13,3985,19,545,2819,0.8523138154344306,0.014128003645816234,0.23862732479683027,0.00012582510384764593,0.0013637068272693452,7.08114997875655e-06,0.7095531587057011,0.5357766143106457,17.0626882804511,0.028322099006672166,0.016524696476987472,0.03648780265606287
14,3074,15,663,6066,0.8171954814926203,0.01969877755110595,0.17141161331605206,0.00027477486852089527,0.0006690029211522838,5.66491998300524e-05,0.7805084745762711,0.5277936962750717,17.11556693359568,0.03384886037388278,0.034900258100042034,0.032212129765827116
