,conf,rest,restP
0,0.0,1056033,100.0
1,1.0,1048626,99.29860146415879
2,2.0,1034777,97.9871841126177
3,3.0,1028480,97.39089592844164
4,4.0,1022431,96.81809185887184
5,5.0,1016785,96.28344947553722
6,6.0,1006182,95.2794088821088
7,7.000000000000001,1001090,94.79722698059625
8,8.0,996372,94.35046063901412
9,9.0,991831,93.92045513729211
10,10.0,983140,93.09746949195716
11,11.0,978994,92.70486812438627
12,12.0,975056,92.33196311100127
13,13.0,967476,91.61418251134198
14,14.000000000000002,963795,91.26561385865783
15,15.0,960324,90.93693094818059
16,16.0,956828,90.60588068744065
17,17.0,950109,89.96963163082971
18,18.0,946971,89.67248182585203
19,19.0,943832,89.37523732686384
20,20.0,937889,88.812470822408
21,21.0,934806,88.52052918800834
22,22.0,931873,88.24279165518502
23,23.0,929027,87.973292501276
24,24.0,923431,87.44338481846685
25,25.0,920769,87.19130936249151
26,26.0,918077,86.93639308620091
27,27.0,915382,86.68119272787877
28,28.000000000000004,910433,86.21255206986903
29,28.999999999999996,907895,85.97221867119683
30,30.0,905419,85.73775630117619
31,31.0,900469,85.26902094915594
32,32.0,898008,85.03597898929294
33,33.0,895572,84.80530437969269
34,34.0,893246,84.58504611124842
35,35.0,888592,84.14434018633887
36,36.0,886279,83.92531294003123
37,37.0,884020,83.71139917029107
38,38.0,881827,83.50373520524454
39,39.0,877344,83.07922195613206
40,40.0,875137,82.87023227493839
41,41.0,872875,82.6560344231667
42,42.0,868499,82.2416534331787
43,43.0,866318,82.03512579625826
44,44.0,864219,81.83636306819957
45,45.0,862075,81.63333910966799
46,46.0,857789,81.2274805806258
47,47.0,855690,81.02871785256711
48,48.0,853608,80.83156492268706
49,49.0,851447,80.62693116597683
50,50.0,847167,80.22164080099769
51,51.0,845006,80.01700704428745
52,52.0,842881,79.81578227195551
53,53.0,838625,79.4127645632286
54,54.0,836526,79.21400183516992
55,55.00000000000001,834306,79.00378113183963
56,56.00000000000001,832148,78.7994314571609
57,57.00000000000001,827826,78.3901639437404
58,57.99999999999999,825617,78.1809848745257
59,59.0,823462,77.9769192818785
60,60.0,821350,77.77692553168319
61,61.0,816958,77.36102943752705
62,62.0,814819,77.15847894904799
63,63.0,812632,76.9513831480645
64,64.0,808220,76.53359317369816
65,65.0,805967,76.32024756802107
66,66.0,803714,76.10690196234398
67,67.0,801362,75.88418164962648
68,68.0,796614,75.43457448772908
69,69.0,794277,75.21327458516922
70,70.0,791865,74.98487263182116
71,71.0,786713,74.49700908967807
72,72.0,784206,74.25961120533165
73,73.0,781542,74.00734636133531
74,74.0,778989,73.76559255250547
75,75.0,773606,73.25585469393475
76,76.0,770803,72.99042738247763
77,77.0,767958,72.72102292257912
78,78.0,764929,72.43419476474693
79,79.0,758757,71.84974333188453
80,80.0,755499,71.54123024564574
81,81.0,752249,71.23347471149101
82,82.0,745428,70.58756686580817
83,83.0,741749,70.23918760114503
84,84.0,738006,69.88474791980931
85,85.0,734087,69.513642092624
86,86.0,725727,68.72200016476758
87,87.0,721120,68.28574485835196
88,88.0,716258,67.82534257925651
89,89.0,711166,67.34316067774398
90,90.0,699719,66.25919833944583
91,91.0,693492,65.6695387360054
92,92.0,686737,65.02988069501616
93,93.0,670363,63.47936096693948
94,94.0,660579,62.55287476811804
95,95.0,649382,61.492585932447184
96,96.0,636042,60.22936783225524
97,97.0,598921,56.71423146814541
98,98.0,569438,53.9223679563044
99,99.0,521895,49.42033061466829
100,100.0,406432,38.48667607925131
