,id,age,degree,strength,lcc,lccF,lccFinv,between,betweenF,betweenFinv,closeness,closenessF,closenessFinv,evc,evcF,evcFinv
0,2586,12,701,4280,0.7058121051558998,0.012821568167617228,0.18389948636764278,0.0007294756844310372,0.0012014717855551985,0.00017828078594560128,0.7797286512370312,0.5327153762268266,14.57479427317671,0.03962187299747756,0.027207698302351854,0.040409214405489696
1,4091,0,186,852,0.7288578901482128,0.011860827343418414,0.20949571667737907,7.482394754200808e-05,0.0001730234675738437,0.0,0.5522894290559638,0.5072689511941848,10.892686761505354,0.009607258370912433,0.005542769337876602,0.011952605264411576
2,4058,12,426,1637,0.7807787903893952,0.010573422714996486,0.2638543473891537,0.00015817938535493223,0.0011306256946950804,0.0,0.6393979057591623,0.533588203167668,10.709725785497456,0.024662200392462537,0.008535508234303763,0.03489350311227452
3,3771,0,399,2582,0.7149280235765293,0.01323657708884368,0.19850876001861695,0.0003153744117505739,0.0007578130648034112,0.00012060170813967146,0.6282958199356913,0.5252688172043011,14.813358578999306,0.02191023354308572,0.017702486304187703,0.026146821466066016
4,3017,21,515,4165,0.7664085225340939,0.013534868491212585,0.22860763726615368,0.0002931337822337367,0.0017140845353142517,0.02206277161602094,0.6789437109103544,0.5421753607103219,18.22946636318657,0.030196098585644173,0.028669923277832406,0.03899034077762871
5,724,7,650,7290,0.67102050491881,0.01777940795091598,0.14037644369328767,0.0010041528443988795,0.0009427769755447449,0.006980217125023072,0.7492331288343558,0.526117393645665,17.49851558644697,0.03541883713612462,0.05378682139131761,0.030585361657790182
6,620,7,561,5224,0.7296791443850268,0.01732196139316532,0.1675144710873911,0.0005117049265258149,0.00090353102620991,0.0005725959360370488,0.7013639626704954,0.5266846361185984,16.686340821449132,0.03183789270375536,0.04048084063117527,0.030372521823905558
7,1582,33,685,5887,0.718662227344517,0.01620302840725076,0.1567516098375029,0.0005893948321876492,0.0006654796341889228,0.000834773562427639,0.7698975571315997,0.5266846361185984,14.343123551022783,0.038857220863559236,0.03259743760323269,0.0331682114103349
8,1381,38,295,924,0.7639109881240632,0.008786999129282779,0.29329824620166106,9.00142336019882e-05,0.001049301176729269,0.0,0.5889089813140446,0.5318454001088732,9.238690719986018,0.01729835857234417,0.005696176812355351,0.028080795752603784
9,3753,21,593,5050,0.7621917870653115,0.015595478754439063,0.18874695291838908,0.00039605099571059075,0.0009552578635584297,0.004832458009631358,0.7178545187362234,0.529826464208243,17.02718510046095,0.034795214013763294,0.03318493966073991,0.03479673196322127
10,366,33,672,3424,0.7451786601376765,0.012491895117637207,0.20120200609478253,0.0005339736756547706,0.001054205662437793,0.0,0.7620904836193447,0.5312669929309407,11.4828321868605,0.039062629765719115,0.02249241235230318,0.040409113788060204
11,684,7,661,7125,0.6953101361573374,0.018220136780586343,0.14776075441730757,0.0008640362144416198,0.0011392379356380156,0.0008200916153497659,0.7556071152358855,0.5327153762268266,16.512978061509386,0.036799815397234266,0.05316518364308304,0.03301215689157719
12,296,28,195,621,0.732751784298176,0.009262211534799102,0.26559590230761004,6.624214499149401e-05,0.0006571141234842777,0.0,0.5554292211483798,0.5196808510638298,9.750362952832562,0.010710760840622516,0.00447411927672934,0.016934020470937554
13,1814,32,687,5408,0.6706727606825638,0.014135786859011809,0.16078072708007204,0.0011053572583689364,0.0011676995086773814,0.0003691460979579509,0.771112865035517,0.530113944655453,15.079742780955007,0.03762221000619184,0.03655221838378559,0.0360197601655175
14,3985,21,430,1554,0.7903073670515531,0.010246889499109145,0.28730982682194117,0.00018090647691719608,0.0026748832459016643,0.0,0.6410761154855643,0.5482603815937149,13.163011799310782,0.025413608966524413,0.011919095525820492,0.040159087615625956
15,1404,0,160,800,0.7502358490566038,0.012610167721952727,0.21454250928751625,4.840108492323866e-05,0.00016803636616275722,0.0,0.5442896935933148,0.5062176165803108,11.18244671415364,0.008236190886355178,0.005251680058048152,0.010113555599893494
16,3074,17,523,4342,0.7335150143220296,0.016236233900435836,0.18057148735133796,0.0004482702925206845,0.0008504820631350787,0.00024120341627934292,0.6827393431167016,0.5272531030760929,15.833721469608427,0.029683504240854322,0.0339610638651935,0.03099726080418412
17,2987,46,81,103,0.8197530864197531,0.006044544115703325,0.4299218264315544,4.382010230678703e-06,0.00036617561242351294,0.0,0.5213447171824973,0.5158394931362197,3.3112076502962786,0.004953192515824108,0.0006835674713874391,0.011454649797364703
18,1299,11,704,6276,0.7390768459847408,0.016725813503840305,0.1629612236982512,0.000534485814469965,0.0007838638916613083,0.001585650284410289,0.7816,0.5269687162891047,15.960761892304188,0.040771683340438215,0.04231139971184754,0.035024157977258004
19,3379,0,203,897,0.8602643515583085,0.01478801084922948,0.23848796167256484,3.1033219901217176e-05,0.00028898517505291467,0.0,0.5573302909298345,0.5125918153200419,11.536605923248189,0.011659510994443512,0.007347672116360817,0.014906947080159133
